date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:31:42	5937/5937	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2022:22:22%20GMT	https://geekprank.com/minesweeper/index.html	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/minesweeper/index.html	(from https://geekprank.com/)
09:31:42	531/531	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Jul%202022%2013:00:12%20GMT	https://geekprank.com/choice/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/choice/index.html	(from https://geekprank.com/)
09:31:42	3657/3657	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Jun%202018%2000:37:42%20GMT	https://geekprank.com/tetris/index.html	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/tetris/index.html	(from https://geekprank.com/)
09:31:42	821/821	---M--	200	added ('OK')	image/png	etag:%2230a2f8a-335-55d893bfea480%22	https://geekprank.com/images/toolbar1.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/toolbar1.png	(from https://geekprank.com/)
09:31:42	635/635	---M--	200	added ('OK')	image/png	etag:%2230a2f8f-27b-55d893bfea480%22	https://geekprank.com/images/toolbar2.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/toolbar2.png	(from https://geekprank.com/)
09:31:43	612/612	---M--	200	added ('OK')	image/png	etag:%2230a2f7c-264-55d893bfea480%22	https://geekprank.com/images/toolbar3.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/toolbar3.png	(from https://geekprank.com/)
09:31:43	167/167	---M--	200	added ('OK')	image/png	etag:%2230a2eb3-a7-548fdc8e61180%22	https://geekprank.com/images/toolbar-sep.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/toolbar-sep.png	(from https://geekprank.com/)
09:31:43	616/616	---M--	200	added ('OK')	image/png	etag:%2230a2ec4-268-55d893bfea480%22	https://geekprank.com/images/toolbar4.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/toolbar4.png	(from https://geekprank.com/)
09:31:44	626/626	---M--	200	added ('OK')	image/png	etag:%2230a2ef4-272-55d893bfea480%22	https://geekprank.com/images/toolbar5.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/toolbar5.png	(from https://geekprank.com/)
09:31:44	372/372	---M--	200	added ('OK')	image/png	etag:%2230a2edc-174-55d893bfea480%22	https://geekprank.com/images/toolbar6.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/toolbar6.png	(from https://geekprank.com/)
09:31:44	710/710	---M--	200	added ('OK')	image/png	etag:%2230a2ee7-2c6-548fdc88a8400%22	https://geekprank.com/images/pc-icon.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/pc-icon.png	(from https://geekprank.com/)
09:31:44	1127/1127	---M--	200	added ('OK')	image/png	etag:%2230a2f15-467-548fdc82ef680%22	https://geekprank.com/images/greenGo.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/greenGo.png	(from https://geekprank.com/)
09:31:45	919/919	---M--	200	added ('OK')	image/png	etag:%2230a2eb2-397-55d893bfea480%22	https://geekprank.com/images/dropup-ico.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/dropup-ico.png	(from https://geekprank.com/)
09:31:45	532/532	---M--	200	added ('OK')	image/png	etag:%2230a2eba-214-55d893bfea480%22	https://geekprank.com/images/ico/wait.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ico/wait.png	(from https://geekprank.com/)
09:31:45	520/520	---M--	200	added ('OK')	image/png	etag:%2230a2eb9-208-548fdc9602380%22	https://geekprank.com/images/ico/open.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ico/open.png	(from https://geekprank.com/)
09:31:45	904/904	---M--	200	added ('OK')	image/png	etag:%2230a2eb8-388-548fdc97ea800%22	https://geekprank.com/images/ico/pc.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ico/pc.png	(from https://geekprank.com/)
09:31:46	697/697	---M--	200	added ('OK')	image/png	etag:%2230a2ebd-2b9-548fdc97ea800%22	https://geekprank.com/images/ico/phone.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ico/phone.png	(from https://geekprank.com/)
09:31:46	786/786	---M--	200	added ('OK')	image/png	etag:%2230a2ebc-312-548fdc97ea800%22	https://geekprank.com/images/ico/screen.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ico/screen.png	(from https://geekprank.com/)
09:31:46	808/808	---M--	200	added ('OK')	image/png	etag:%2230a2eb7-328-548fdc9602380%22	https://geekprank.com/images/ico/close.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ico/close.png	(from https://geekprank.com/)
09:31:46	760/760	---M--	200	added ('OK')	image/png	etag:%2230a2ebb-2f8-55d893bfea480%22	https://geekprank.com/images/ico/prank.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ico/prank.png	(from https://geekprank.com/)
09:31:46	18963/18963	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2014:31:46%20GMT	https://geekprank.com/terms-and-conditions.php	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/terms-and-conditions.html	(from https://geekprank.com/)
09:31:47	18320/18320	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2014:31:47%20GMT	https://geekprank.com/sitemap.php	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/sitemap.html	(from https://geekprank.com/)
09:31:47	18444/18444	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2012:39:05%20GMT	https://geekprank.com/chat-screenshot/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/chat-screenshot/index.html	(from https://geekprank.com/)
09:31:47	27724/27724	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2012:39:14%20GMT	https://geekprank.com/hacker/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/hacker/index.html	(from https://geekprank.com/)
09:31:47	8101/8101	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2012:39:05%20GMT	https://geekprank.com/fake-virus/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/fake-virus/index.html	(from https://geekprank.com/)
09:31:48	985/985	---M--	200	added ('OK')	image/png	etag:%2230a2f39-3d9-55d893c1d2900%22	https://geekprank.com/images/windowslogo.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/windowslogo.png	(from https://geekprank.com/)
09:31:48	6819/6819	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2012:39:06%20GMT	https://geekprank.com/fbi-warning/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/fbi-warning/index.html	(from https://geekprank.com/)
09:31:48	1394/1394	---M--	200	added ('OK')	image/png	etag:%2230a2f3f-572-55d893c1d2900%22	https://geekprank.com/images/ie1.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ie1.png	(from https://geekprank.com/)
09:31:48	13256/13256	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2013:00:48%20GMT	https://geekprank.com/apple/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/apple/index.html	(from https://geekprank.com/)
09:31:48	1292/1292	---M--	200	added ('OK')	image/png	etag:%2230a2eeb-50c-55d893c1d2900%22	https://geekprank.com/images/ie2.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ie2.png	(from https://geekprank.com/)
09:31:48	834/834	---M--	200	added ('OK')	image/png	etag:%2230a2ee1-342-55d893c1d2900%22	https://geekprank.com/images/ie3.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ie3.png	(from https://geekprank.com/)
09:31:48	933/933	---M--	200	added ('OK')	image/png	etag:%2230a2f43-3a5-55d893c1d2900%22	https://geekprank.com/images/ie4.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ie4.png	(from https://geekprank.com/)
09:31:49	1137/1137	---M--	200	added ('OK')	image/png	etag:%2230a2f3e-471-55d893c1d2900%22	https://geekprank.com/images/ie5.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ie5.png	(from https://geekprank.com/)
09:31:49	1768/1768	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2012:26:39%20GMT	https://geekprank.com/winxp-update/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/winxp-update/index.html	(from https://geekprank.com/)
09:31:49	161/161	---M--	200	added ('OK')	image/png	etag:%2230a2ebf-a1-548fdc84d7b00%22	https://geekprank.com/images/ie-sep.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ie-sep.png	(from https://geekprank.com/)
09:31:49	1147/1147	---M--	200	added ('OK')	image/png	etag:%2230a2f11-47b-55d893c1d2900%22	https://geekprank.com/images/ie6.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ie6.png	(from https://geekprank.com/)
09:31:49	1225/1225	---M--	200	added ('OK')	image/png	etag:%2230a2f95-4c9-55d893c1d2900%22	https://geekprank.com/images/ie7.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ie7.png	(from https://geekprank.com/)
09:31:50	1378/1378	---M--	200	added ('OK')	image/png	etag:%2230a2eb1-562-55d893c1d2900%22	https://geekprank.com/images/ie8.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ie8.png	(from https://geekprank.com/)
09:31:50	1881/1881	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2012:26:39%20GMT	https://geekprank.com/win7-update/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/win7-update/index.html	(from https://geekprank.com/)
09:31:50	1396/1396	---M--	200	added ('OK')	image/png	etag:%2230a2f36-574-55d893c1d2900%22	https://geekprank.com/images/ie9.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ie9.png	(from https://geekprank.com/)
09:31:50	1030/1030	---M--	200	added ('OK')	image/png	etag:%2230a2f10-406-55d893c1d2900%22	https://geekprank.com/images/ie10.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ie10.png	(from https://geekprank.com/)
09:31:50	1046/1046	---M--	200	added ('OK')	image/png	etag:%2230a2eac-416-55d893c1d2900%22	https://geekprank.com/images/ie11.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ie11.png	(from https://geekprank.com/)
09:31:51	1979/1979	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2012:26:39%20GMT	https://geekprank.com/win10-update/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/win10-update/index.html	(from https://geekprank.com/)
09:31:51	632/632	---M--	200	added ('OK')	image/png	etag:%2230a2edd-278-548fdc84d7b00%22	https://geekprank.com/images/ie12.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ie12.png	(from https://geekprank.com/)
09:31:51	10664/10664	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jun%202018%2014:02:20%20GMT	https://geekprank.com/bios/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/bios/index.html	(from https://geekprank.com/)
09:31:51	10023/10023	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2012:28:34%20GMT	https://geekprank.com/pipes/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/pipes/index.html	(from https://geekprank.com/)
09:31:51	686/686	---M--	200	added ('OK')	image/png	etag:%2230a2ef3-2ae-548fdc82ef680%22	https://geekprank.com/images/ie-addressbar-ico.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ie-addressbar-ico.png	(from https://geekprank.com/)
09:31:51	182/182	---M--	200	added ('OK')	image/png	etag:%2230a2f5d-b6-548fdc86bff80%22	https://geekprank.com/images/ieLinks.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/ieLinks.png	(from https://geekprank.com/)
09:31:52	745/745	---M--	200	added ('OK')	image/png	etag:%2230a2ee8-2e9-55d893c1d2900%22	https://geekprank.com/images/iedone.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/iedone.png	(from https://geekprank.com/)
09:31:52	1431/1431	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2012:26:39%20GMT	https://geekprank.com/matrix-code-rain/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/matrix-code-rain/index.html	(from https://geekprank.com/)
09:31:52	385/385	---M--	200	added ('OK')	image/png	etag:%2230a2f41-181-55d893c1d2900%22	https://geekprank.com/images/iefooter.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/iefooter.png	(from https://geekprank.com/)
09:31:52	1210/1210	---M--	200	added ('OK')	image/jpeg	etag:%2230a2ea9-4ba-548fdc82ef680%22	https://geekprank.com/images/default_icon.jpg	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/default_icon.jpg	(from https://geekprank.com/)
09:31:53	2353/2353	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2012:26:39%20GMT	https://geekprank.com/static-tv-noise/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/static-tv-noise/index.html	(from https://geekprank.com/)
09:31:53	51976/51976	---M--	200	added ('OK')	image/png	etag:%2230a2f5e-cb08-5ae50d8e423c0%22	https://geekprank.com/images/welcome-icons.png	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/welcome-icons.png	(from https://geekprank.com/mobile/)
